word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
blood,ttllpeae,3,0.0,0,y,0,1403.652166000029,22
truck,paper,4,0.24,1,n,0,194.04783100071654,22
tennis,mouse,4,0.09,1,y,1,51.631049000206986,22
photo,burger,4,0.42,1,n,0,94.17915599988191,22
bread,butter,1,0.75,1,n,0,185.47927100007655,22
chocolate,bcsiiut,2,0.0,0,y,0,58.30732300000818,22
hotel,lobby,1,0.71,1,y,1,60.794027999691025,22
blood,ptaelelt,2,0.0,0,y,0,33.08479099996475,22
hotel,bbloy,3,0.0,0,y,0,87.54004099955637,22
virus,bieracta,2,0.0,0,y,0,15.28798200070014,22
guitar,iovlni,3,0.0,0,y,0,160.6154390001393,22
chocolate,biscuit,1,0.59,1,n,0,39.09132199987653,22
tea,eceoff,3,0.0,0,n,1,30.204293999304355,22
tongue,selmuc,3,0.0,0,n,1,90.82285900058196,22
insect,lunch,4,0.22,1,n,0,108.84447199987335,22
insect,termite,1,0.95,1,y,1,53.34686300011526,22
insect,ttemier,3,0.0,0,n,1,16.02570700015349,22
engine,skeleton,4,0.12,1,n,0,27.170233999640914,22
tea,bicycle,4,0.25,1,n,0,48.515071000110765,22
tea,cofefe,2,0.0,0,n,1,54.643477999889,22
hotel,onion,4,0.44,1,y,1,43.58289100036927,22
lava,biscuit,4,0.33,1,y,1,56.06079600056546,22
photo,camera,1,0.59,1,y,1,20.001255000352103,22
photo,cmarea,2,0.0,0,y,0,117.18547500004206,22
bread,utrtbe,3,0.0,0,y,0,143.1567970003016,22
tongue,muscle,1,0.8,1,y,1,34.50689900000725,22
phone,adior,3,0.0,0,y,0,79.32376399912755,22
virus,riatcaeb,3,0.0,0,y,0,318.6896980005258,22
photo,raacem,3,0.0,0,y,0,162.88683399943693,22
tea,coffee,1,0.89,1,n,0,71.35362999997596,22
shirt,tersuor,2,0.0,0,n,1,238.77115399955073,22
fruit,airplane,4,0.38,1,n,0,98.85653699984687,22
doctor,shampoo,4,0.21,1,n,0,114.34595699938654,22
bread,buettr,2,0.0,0,n,1,141.1924670001099,22
hotel,lbboy,2,0.0,0,n,1,94.57783499965444,22
engine,train,1,0.63,1,y,1,24.640255000122124,22
cloth,paeaplr,3,0.0,0,y,0,70.9385790005399,22
truck,ilevehc,3,0.0,0,y,0,107.1929910003746,22
tennis,rsocce,3,0.0,0,n,1,189.52560399975482,22
virus,bottle,4,0.47,1,n,0,129.60836600086623,22
office,jelly,4,0.24,1,n,0,62.19942000006995,22
tongue,pencil,4,0.25,1,n,0,103.10754100009945,22
lava,magma,1,0.78,1,n,0,49.36540399921796,22
chocolate,diary,4,0.27,1,n,0,47.00123699967662,22
phone,radio,1,0.63,1,y,1,143.21381999980076,22
blood,skirt,4,0.27,1,n,0,158.17224600050395,22
doctor,nurse,1,0.87,1,n,0,174.55589099972713,22
bread,laptop,4,0.2,1,y,1,21.553149000283156,22
lava,mgama,3,0.0,0,y,0,88.70047999971575,22
shirt,flower,4,0.4,1,n,0,36.15508100028819,22
office,chair,1,0.53,1,y,1,155.00661799978843,22
office,caihr,2,0.0,0,n,1,186.8331629993918,22
fruit,orange,1,0.86,1,n,0,131.92126200010534,22
guitar,voilin,2,0.0,0,n,1,104.92063499987125,22
guitar,lemon,4,0.36,1,n,0,73.45930199971917,22
truck,vehicle,1,0.8,1,n,0,68.29064300018217,22
engine,tairn,2,0.0,0,y,0,35.960894999334414,22
tennis,soccer,1,0.75,1,n,0,199.09444599943527,22
truck,vclhiee,2,0.0,0,y,0,203.0574099999285,22
doctor,eusrn,3,0.0,0,y,0,121.85036800019589,22
cloth,apparel,1,0.71,1,n,0,287.16678000000684,22
blood,platelet,1,0.53,1,n,0,81.72911400015437,22
tongue,muslce,2,0.0,0,n,1,180.16868799986696,22
lava,mgmaa,2,0.0,0,n,1,210.45263099949807,22
cloth,charger,4,0.33,1,n,0,118.39481399965734,22
phone,rdaio,2,0.0,0,n,1,119.63490800008003,22
guitar,violin,1,0.86,1,n,0,81.69876100055262,22
fruit,ongrae,2,0.0,0,n,1,131.84670500049833,22
office,iahcr,3,0.0,0,n,1,159.43380599946977,22
phone,light,4,0.2,1,n,0,169.90132400042057,22
chocolate,ibcstui,3,0.0,0,y,0,10.562710999693081,22
virus,bacteria,1,0.88,1,y,1,4.707590000180062,22
shirt,trouser,1,0.9,1,y,1,137.1272999995199,22
engine,tnria,3,0.0,0,y,0,254.99193999985437,22
shirt,ueortrs,3,0.0,0,y,0,127.84009099959803,22
cloth,aeprpal,2,0.0,0,y,0,119.43473100018309,22
insect,tmierte,2,0.0,0,y,0,25.805217999732122,22
tennis,scocer,2,0.0,0,n,1,38.466338999569416,22
doctor,nruse,2,0.0,0,y,0,147.85695199952897,22
fruit,rneaog,3,0.0,0,y,0,26.36389599956601,22
