word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
tongue,selmuc,3,0.0,0,0,2,2000.0,20
tea,eceoff,3,0.0,0,0,2,2000.0,20
fruit,rneaog,3,0.0,0,0,2,2000.0,20
tea,coffee,1,0.89,1,0,2,2000.0,20
hotel,onion,4,0.44,1,0,2,2000.0,20
guitar,voilin,2,0.0,0,y,0,1954.8330307006836,20
engine,tairn,2,0.0,0,0,2,2000.0,20
guitar,lemon,4,0.36,1,0,2,2000.0,20
lava,biscuit,4,0.33,1,0,2,2000.0,20
virus,riatcaeb,3,0.0,0,0,2,2000.0,20
tea,bicycle,4,0.25,1,n,0,199.3539333343506,20
fruit,ongrae,2,0.0,0,n,1,1536.4420413970947,20
lava,mgmaa,2,0.0,0,n,1,916.72682762146,20
blood,ttllpeae,3,0.0,0,n,1,1205.3439617156982,20
doctor,eusrn,3,0.0,0,n,1,1059.372901916504,20
insect,tmierte,2,0.0,0,n,1,1067.162036895752,20
office,chair,1,0.53,1,y,1,1733.8459491729736,20
phone,light,4,0.2,1,y,1,1289.7191047668457,20
photo,raacem,3,0.0,0,n,1,1177.87504196167,20
tennis,soccer,1,0.75,1,y,1,977.7870178222656,20
insect,termite,1,0.95,1,y,1,1058.5877895355225,20
chocolate,bcsiiut,2,0.0,0,n,1,1048.8271713256836,20
office,iahcr,3,0.0,0,n,1,785.97092628479,20
virus,bieracta,2,0.0,0,n,1,1050.2088069915771,20
photo,camera,1,0.59,1,y,1,842.0300483703613,20
tennis,scocer,2,0.0,0,y,0,740.0550842285156,20
tennis,mouse,4,0.09,1,y,1,711.6360664367676,20
tea,cofefe,2,0.0,0,y,0,644.1700458526611,20
chocolate,ibcstui,3,0.0,0,n,1,583.4860801696777,20
lava,magma,1,0.78,1,y,1,964.8520946502686,20
office,jelly,4,0.24,1,y,1,682.2888851165771,20
truck,ilevehc,3,0.0,0,n,1,619.5530891418457,20
virus,bacteria,1,0.88,1,y,1,747.6460933685303,20
phone,adior,3,0.0,0,y,0,1205.5079936981201,20
bread,laptop,4,0.2,1,y,1,1345.4399108886719,20
hotel,lbboy,2,0.0,0,n,1,940.5848979949951,20
chocolate,diary,4,0.27,1,y,1,796.6809272766113,20
blood,ptaelelt,2,0.0,0,y,0,1141.416072845459,20
cloth,aeprpal,2,0.0,0,n,1,1345.076084136963,20
hotel,bbloy,3,0.0,0,n,1,852.2899150848389,20
fruit,orange,1,0.86,1,y,1,893.3100700378418,20
guitar,iovlni,3,0.0,0,n,1,724.8399257659912,20
engine,skeleton,4,0.12,1,y,1,965.1191234588623,20
bread,butter,1,0.75,1,y,1,957.8051567077637,20
doctor,nurse,1,0.87,1,y,1,765.4531002044678,20
shirt,tersuor,2,0.0,0,n,1,1077.383041381836,20
cloth,charger,4,0.33,1,y,1,948.753833770752,20
engine,train,1,0.63,1,y,1,1381.5090656280518,20
truck,vclhiee,2,0.0,0,n,1,1380.8400630950928,20
insect,lunch,4,0.22,1,y,1,1461.4901542663574,20
phone,radio,1,0.63,1,y,1,1227.8199195861816,20
chocolate,biscuit,1,0.59,1,y,1,876.7590522766113,20
fruit,airplane,4,0.38,1,y,1,1157.2492122650146,20
photo,cmarea,2,0.0,0,n,1,1121.8688488006592,20
bread,buettr,2,0.0,0,y,0,834.8388671875,20
blood,platelet,1,0.53,1,n,0,831.6841125488281,20
hotel,lobby,1,0.71,1,y,1,1110.6019020080566,20
shirt,flower,4,0.4,1,y,1,853.0418872833252,20
tongue,pencil,4,0.25,1,y,1,637.1860504150391,20
bread,utrtbe,3,0.0,0,n,1,950.0038623809814,20
tongue,muscle,1,0.8,1,y,1,781.2709808349609,20
doctor,shampoo,4,0.21,1,y,1,948.361873626709,20
virus,bottle,4,0.47,1,y,1,792.5240993499756,20
cloth,apparel,1,0.71,1,y,1,805.4320812225342,20
cloth,paeaplr,3,0.0,0,n,1,1005.4631233215332,20
engine,tnria,3,0.0,0,n,1,965.4741287231445,20
guitar,violin,1,0.86,1,y,1,676.440954208374,20
tongue,muslce,2,0.0,0,y,0,732.4550151824951,20
phone,rdaio,2,0.0,0,y,0,1300.508975982666,20
office,caihr,2,0.0,0,n,1,1280.3409099578857,20
lava,mgama,3,0.0,0,n,1,1604.3500900268555,20
insect,ttemier,3,0.0,0,n,1,1083.7440490722656,20
truck,paper,4,0.24,1,y,1,1044.0900325775146,20
shirt,ueortrs,3,0.0,0,n,1,876.2719631195068,20
photo,burger,4,0.42,1,y,1,1156.0750007629395,20
shirt,trouser,1,0.9,1,y,1,1041.7981147766113,20
blood,skirt,4,0.27,1,y,1,1091.425895690918,20
tennis,rsocce,3,0.0,0,n,1,844.6822166442871,20
doctor,nruse,2,0.0,0,y,0,981.497049331665,20
truck,vehicle,1,0.8,1,n,0,1840.397834777832,20
