word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
tennis,scocer,2,0.0,0,0,2,2000.0,22
truck,vehicle,1,0.8,1,y,1,1460.4690074920654,22
hotel,lobby,1,0.71,1,y,1,1602.658987045288,22
tongue,muscle,1,0.8,1,y,1,1610.1019382476807,22
doctor,nruse,2,0.0,0,y,0,1276.796817779541,22
tongue,muslce,2,0.0,0,0,2,2000.0,22
fruit,ongrae,2,0.0,0,n,1,1475.6779670715332,22
shirt,tersuor,2,0.0,0,y,0,1593.64914894104,22
engine,tnria,3,0.0,0,n,1,1015.9828662872314,22
engine,train,1,0.63,1,y,1,1194.6220397949219,22
lava,mgama,3,0.0,0,y,0,1044.3150997161865,22
hotel,lbboy,2,0.0,0,n,1,1815.798044204712,22
tea,bicycle,4,0.25,1,y,1,1394.5817947387695,22
truck,paper,4,0.24,1,y,1,1410.6619358062744,22
tongue,selmuc,3,0.0,0,n,1,1715.500831604004,22
hotel,onion,4,0.44,1,y,1,1652.3139476776123,22
tongue,pencil,4,0.25,1,y,1,1379.526138305664,22
guitar,violin,1,0.86,1,y,1,1661.3049507141113,22
engine,skeleton,4,0.12,1,y,1,1899.6481895446777,22
bread,laptop,4,0.2,1,y,1,1617.945909500122,22
tennis,mouse,4,0.09,1,y,1,1139.4920349121094,22
photo,burger,4,0.42,1,y,1,1803.3950328826904,22
fruit,orange,1,0.86,1,y,1,1002.4399757385254,22
truck,ilevehc,3,0.0,0,n,1,1563.5769367218018,22
insect,lunch,4,0.22,1,y,1,1226.0692119598389,22
tea,coffee,1,0.89,1,y,1,1250.6260871887207,22
phone,radio,1,0.63,1,y,1,1317.3480033874512,22
blood,skirt,4,0.27,1,y,1,1075.1080513000488,22
chocolate,ibcstui,3,0.0,0,y,0,1771.5229988098145,22
photo,raacem,3,0.0,0,n,1,1863.3179664611816,22
bread,utrtbe,3,0.0,0,n,1,1409.4889163970947,22
tea,eceoff,3,0.0,0,n,1,1619.0969944000244,22
insect,ttemier,3,0.0,0,n,1,1789.8190021514893,22
virus,bottle,4,0.47,1,y,1,1188.953161239624,22
virus,bieracta,2,0.0,0,n,1,1645.0119018554688,22
shirt,ueortrs,3,0.0,0,n,1,1540.0300025939941,22
chocolate,diary,4,0.27,1,y,1,1748.8539218902588,22
office,iahcr,3,0.0,0,n,1,1629.760980606079,22
doctor,nurse,1,0.87,1,y,1,1597.0489978790283,22
truck,vclhiee,2,0.0,0,y,0,876.6648769378662,22
phone,light,4,0.2,1,0,2,2000.0,22
chocolate,bcsiiut,2,0.0,0,y,0,52.48212814331055,22
tea,cofefe,2,0.0,0,y,0,842.2739505767822,22
insect,termite,1,0.95,1,n,0,1881.6120624542236,22
photo,cmarea,2,0.0,0,y,0,1151.475191116333,22
lava,magma,1,0.78,1,y,1,1666.599988937378,22
guitar,lemon,4,0.36,1,y,1,1291.529893875122,22
office,caihr,2,0.0,0,y,0,1237.8168106079102,22
insect,tmierte,2,0.0,0,0,2,2000.0,22
office,jelly,4,0.24,1,n,0,91.08209609985352,22
doctor,eusrn,3,0.0,0,y,0,1937.4849796295166,22
lava,biscuit,4,0.33,1,y,1,1167.7320003509521,22
tennis,rsocce,3,0.0,0,n,1,1157.1719646453857,22
virus,bacteria,1,0.88,1,y,1,1269.3121433258057,22
bread,butter,1,0.75,1,y,1,1045.654058456421,22
photo,camera,1,0.59,1,y,1,1205.7290077209473,22
tennis,soccer,1,0.75,1,y,1,1141.6869163513184,22
hotel,bbloy,3,0.0,0,n,1,1541.8241024017334,22
lava,mgmaa,2,0.0,0,n,1,1678.6808967590332,22
fruit,airplane,4,0.38,1,y,1,1619.0102100372314,22
blood,ptaelelt,2,0.0,0,0,2,2000.0,22
guitar,iovlni,3,0.0,0,y,0,1590.102195739746,22
cloth,aeprpal,2,0.0,0,n,1,1303.8170337677002,22
virus,riatcaeb,3,0.0,0,n,1,1421.10013961792,22
shirt,flower,4,0.4,1,y,1,1275.0871181488037,22
guitar,voilin,2,0.0,0,y,0,1645.0250148773193,22
blood,platelet,1,0.53,1,n,0,1569.4711208343506,22
doctor,shampoo,4,0.21,1,y,1,1294.7378158569336,22
engine,tairn,2,0.0,0,y,0,1169.2838668823242,22
cloth,charger,4,0.33,1,n,0,1423.004150390625,22
cloth,apparel,1,0.71,1,n,0,1711.968183517456,22
bread,buettr,2,0.0,0,y,0,1136.1141204833984,22
office,chair,1,0.53,1,y,1,913.2809638977051,22
shirt,trouser,1,0.9,1,y,1,1100.9721755981445,22
cloth,paeaplr,3,0.0,0,y,0,1209.3381881713867,22
chocolate,biscuit,1,0.59,1,y,1,1055.530071258545,22
blood,ttllpeae,3,0.0,0,n,1,1625.6749629974365,22
phone,rdaio,2,0.0,0,n,1,1594.5370197296143,22
phone,adior,3,0.0,0,n,1,1873.7719058990479,22
fruit,rneaog,3,0.0,0,n,1,1384.8280906677246,22
