word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
truck,vehicle,1,0.8,1,0,2,2000.0,19
fruit,rneaog,3,0.0,0,y,0,27.019977569580078,19
tea,cofefe,2,0.0,0,y,0,1017.6060199737549,19
truck,paper,4,0.24,1,y,1,1008.915901184082,19
lava,mgama,3,0.0,0,n,1,1115.351915359497,19
tea,coffee,1,0.89,1,y,1,764.5490169525146,19
fruit,ongrae,2,0.0,0,n,1,1149.2500305175781,19
cloth,paeaplr,3,0.0,0,n,1,1493.1070804595947,19
tennis,mouse,4,0.09,1,y,1,947.9641914367676,19
phone,radio,1,0.63,1,y,1,1236.3591194152832,19
tennis,soccer,1,0.75,1,y,1,1027.8570652008057,19
shirt,tersuor,2,0.0,0,n,1,1236.0608577728271,19
virus,bottle,4,0.47,1,y,1,897.8698253631592,19
insect,tmierte,2,0.0,0,n,1,1067.7850246429443,19
bread,utrtbe,3,0.0,0,n,1,964.4381999969482,19
photo,cmarea,2,0.0,0,n,1,1125.7810592651367,19
blood,ptaelelt,2,0.0,0,n,1,925.706148147583,19
guitar,lemon,4,0.36,1,y,1,906.9900512695312,19
blood,ttllpeae,3,0.0,0,n,1,893.629789352417,19
hotel,lbboy,2,0.0,0,n,1,1565.8159255981445,19
doctor,eusrn,3,0.0,0,n,1,789.38889503479,19
tongue,muslce,2,0.0,0,y,0,852.9119491577148,19
guitar,iovlni,3,0.0,0,n,1,1048.964023590088,19
phone,light,4,0.2,1,y,1,883.5721015930176,19
engine,tairn,2,0.0,0,n,1,1157.9790115356445,19
chocolate,diary,4,0.27,1,y,1,941.0169124603271,19
guitar,voilin,2,0.0,0,y,0,939.1269683837891,19
chocolate,bcsiiut,2,0.0,0,n,1,991.1489486694336,19
insect,termite,1,0.95,1,y,1,1324.4068622589111,19
hotel,onion,4,0.44,1,n,0,906.5160751342773,19
engine,skeleton,4,0.12,1,y,1,1374.8600482940674,19
office,iahcr,3,0.0,0,n,1,842.2720432281494,19
doctor,nruse,2,0.0,0,n,1,1362.210988998413,19
cloth,aeprpal,2,0.0,0,n,1,1107.4798107147217,19
shirt,flower,4,0.4,1,y,1,1082.184076309204,19
blood,skirt,4,0.27,1,y,1,961.9019031524658,19
tea,eceoff,3,0.0,0,n,1,908.9040756225586,19
truck,vclhiee,2,0.0,0,n,1,1066.0879611968994,19
bread,butter,1,0.75,1,y,1,1020.8790302276611,19
tennis,scocer,2,0.0,0,n,1,1004.2481422424316,19
engine,train,1,0.63,1,y,1,1058.000087738037,19
photo,raacem,3,0.0,0,n,1,1035.736083984375,19
truck,ilevehc,3,0.0,0,n,1,993.8199520111084,19
insect,lunch,4,0.22,1,y,1,817.209005355835,19
cloth,charger,4,0.33,1,y,1,1068.138837814331,19
office,chair,1,0.53,1,y,1,906.4629077911377,19
virus,bieracta,2,0.0,0,n,1,841.8149948120117,19
shirt,ueortrs,3,0.0,0,n,1,929.7339916229248,19
blood,platelet,1,0.53,1,n,0,1098.444938659668,19
office,jelly,4,0.24,1,y,1,992.4309253692627,19
lava,magma,1,0.78,1,n,0,1021.5580463409424,19
office,caihr,2,0.0,0,y,0,1152.3170471191406,19
tongue,pencil,4,0.25,1,y,1,1377.532958984375,19
virus,bacteria,1,0.88,1,y,1,1185.5130195617676,19
lava,biscuit,4,0.33,1,y,1,907.8309535980225,19
hotel,lobby,1,0.71,1,y,1,1282.6910018920898,19
cloth,apparel,1,0.71,1,y,1,1721.6119766235352,19
engine,tnria,3,0.0,0,n,1,996.2320327758789,19
doctor,nurse,1,0.87,1,y,1,1035.4599952697754,19
fruit,airplane,4,0.38,1,y,1,1153.8050174713135,19
virus,riatcaeb,3,0.0,0,n,1,1105.3929328918457,19
photo,camera,1,0.59,1,y,1,882.1580410003662,19
chocolate,ibcstui,3,0.0,0,n,1,1226.3669967651367,19
bread,laptop,4,0.2,1,y,1,1315.4630661010742,19
doctor,shampoo,4,0.21,1,y,1,1251.4071464538574,19
fruit,orange,1,0.86,1,y,1,836.4319801330566,19
insect,ttemier,3,0.0,0,n,1,877.4478435516357,19
photo,burger,4,0.42,1,y,1,1116.6682243347168,19
hotel,bbloy,3,0.0,0,n,1,1061.9220733642578,19
phone,adior,3,0.0,0,n,1,941.1280155181885,19
lava,mgmaa,2,0.0,0,n,1,1005.8140754699707,19
shirt,trouser,1,0.9,1,y,1,860.7380390167236,19
tea,bicycle,4,0.25,1,y,1,949.7630596160889,19
tongue,muscle,1,0.8,1,y,1,965.3608798980713,19
guitar,violin,1,0.86,1,y,1,940.4408931732178,19
phone,rdaio,2,0.0,0,n,1,1251.9490718841553,19
tennis,rsocce,3,0.0,0,n,1,1025.8090496063232,19
chocolate,biscuit,1,0.59,1,y,1,1665.9660339355469,19
tongue,selmuc,3,0.0,0,n,1,1083.245038986206,19
bread,buettr,2,0.0,0,y,0,789.262056350708,19
