word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
truck,vehicle,1,0.8,1,0,2,2000.0,19
tennis,rsocce,3,0.0,0,y,0,342.3950672149658,19
bread,utrtbe,3,0.0,0,0,2,2000.0,19
hotel,lobby,1,0.71,1,n,0,155.97987174987793,19
chocolate,bcsiiut,2,0.0,0,y,0,1953.1328678131104,19
lava,biscuit,4,0.33,1,y,1,1192.115068435669,19
truck,ilevehc,3,0.0,0,n,1,1401.5259742736816,19
photo,camera,1,0.59,1,y,1,1210.8690738677979,19
doctor,eusrn,3,0.0,0,n,1,954.5078277587891,19
photo,burger,4,0.42,1,y,1,522.5121974945068,19
tongue,pencil,4,0.25,1,n,0,650.5208015441895,19
truck,paper,4,0.24,1,y,1,1903.8119316101074,19
chocolate,diary,4,0.27,1,y,1,1050.1880645751953,19
lava,mgmaa,2,0.0,0,n,1,1341.1469459533691,19
truck,vclhiee,2,0.0,0,y,0,1090.5439853668213,19
lava,mgama,3,0.0,0,n,1,1790.565013885498,19
fruit,ongrae,2,0.0,0,n,1,1035.4969501495361,19
office,iahcr,3,0.0,0,n,1,1050.7681369781494,19
photo,raacem,3,0.0,0,n,1,844.1359996795654,19
guitar,iovlni,3,0.0,0,n,1,931.5340518951416,19
office,caihr,2,0.0,0,n,1,946.6438293457031,19
tea,eceoff,3,0.0,0,n,1,987.0479106903076,19
engine,skeleton,4,0.12,1,y,1,1034.696102142334,19
shirt,flower,4,0.4,1,y,1,1051.8231391906738,19
engine,tairn,2,0.0,0,n,1,755.7730674743652,19
fruit,rneaog,3,0.0,0,n,1,1308.0618381500244,19
hotel,bbloy,3,0.0,0,n,1,699.1369724273682,19
shirt,tersuor,2,0.0,0,n,1,786.5200042724609,19
guitar,violin,1,0.86,1,y,1,1067.6970481872559,19
guitar,lemon,4,0.36,1,n,0,843.4200286865234,19
tea,bicycle,4,0.25,1,y,1,985.7189655303955,19
hotel,lbboy,2,0.0,0,n,1,869.9300289154053,19
doctor,nruse,2,0.0,0,y,0,837.9449844360352,19
bread,butter,1,0.75,1,y,1,1554.0001392364502,19
office,chair,1,0.53,1,y,1,1187.4589920043945,19
phone,rdaio,2,0.0,0,y,0,565.777063369751,19
tongue,muslce,2,0.0,0,y,0,1281.5380096435547,19
tea,cofefe,2,0.0,0,y,0,848.4141826629639,19
phone,radio,1,0.63,1,y,1,503.59487533569336,19
insect,termite,1,0.95,1,y,1,604.2201519012451,19
insect,tmierte,2,0.0,0,y,0,708.1770896911621,19
cloth,aeprpal,2,0.0,0,n,1,937.3810291290283,19
phone,adior,3,0.0,0,n,1,741.7349815368652,19
tongue,selmuc,3,0.0,0,n,1,796.7569828033447,19
chocolate,biscuit,1,0.59,1,y,1,828.9051055908203,19
doctor,shampoo,4,0.21,1,y,1,1061.2030029296875,19
cloth,paeaplr,3,0.0,0,n,1,989.6600246429443,19
cloth,charger,4,0.33,1,y,1,940.8998489379883,19
fruit,orange,1,0.86,1,n,0,794.8830127716064,19
chocolate,ibcstui,3,0.0,0,n,1,1087.684154510498,19
shirt,trouser,1,0.9,1,y,1,1354.43115234375,19
doctor,nurse,1,0.87,1,n,0,940.0331974029541,19
engine,tnria,3,0.0,0,0,2,2000.0,19
blood,skirt,4,0.27,1,y,1,1020.8339691162109,19
lava,magma,1,0.78,1,n,0,918.6451435089111,19
insect,ttemier,3,0.0,0,y,0,809.2448711395264,19
tennis,soccer,1,0.75,1,0,2,2000.0,19
shirt,ueortrs,3,0.0,0,n,1,1622.676134109497,19
blood,ttllpeae,3,0.0,0,y,0,875.4699230194092,19
phone,light,4,0.2,1,y,1,985.3320121765137,19
photo,cmarea,2,0.0,0,y,0,517.7631378173828,19
fruit,airplane,4,0.38,1,y,1,1264.5750045776367,19
bread,laptop,4,0.2,1,y,1,1325.7310390472412,19
tongue,muscle,1,0.8,1,y,1,755.0840377807617,19
office,jelly,4,0.24,1,y,1,741.7778968811035,19
tennis,mouse,4,0.09,1,y,1,661.5989208221436,19
virus,bieracta,2,0.0,0,n,1,1029.5379161834717,19
cloth,apparel,1,0.71,1,y,1,757.6010227203369,19
insect,lunch,4,0.22,1,y,1,844.635009765625,19
virus,bacteria,1,0.88,1,y,1,805.3171634674072,19
bread,buettr,2,0.0,0,n,1,1461.7130756378174,19
engine,train,1,0.63,1,y,1,709.8438739776611,19
guitar,voilin,2,0.0,0,y,0,901.1859893798828,19
blood,ptaelelt,2,0.0,0,y,0,1112.8990650177002,19
blood,platelet,1,0.53,1,y,1,873.3739852905273,19
virus,riatcaeb,3,0.0,0,n,1,1149.0859985351562,19
virus,bottle,4,0.47,1,y,1,893.582820892334,19
tennis,scocer,2,0.0,0,y,0,1669.7111129760742,19
hotel,onion,4,0.44,1,y,1,1049.3769645690918,19
tea,coffee,1,0.89,1,y,1,597.2139835357666,19
