word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
office,chair,1,0.53,1,0,2,2000.0,22
tongue,muscle,1,0.8,1,y,1,319.77105140686035,22
doctor,shampoo,4,0.21,1,y,1,138.73696327209473,22
tea,coffee,1,0.89,1,y,1,127.29787826538086,22
hotel,lobby,1,0.71,1,y,1,51.249027252197266,22
chocolate,ibcstui,3,0.0,0,y,0,142.13895797729492,22
blood,platelet,1,0.53,1,y,1,32.86409378051758,22
bread,utrtbe,3,0.0,0,y,0,166.72801971435547,22
tennis,soccer,1,0.75,1,y,1,31.022071838378906,22
bread,buettr,2,0.0,0,y,0,140.10906219482422,22
photo,burger,4,0.42,1,y,1,78.5830020904541,22
engine,tnria,3,0.0,0,y,0,174.75605010986328,22
photo,camera,1,0.59,1,y,1,8.454084396362305,22
phone,rdaio,2,0.0,0,y,0,166.35394096374512,22
insect,lunch,4,0.22,1,y,1,35.95113754272461,22
tea,eceoff,3,0.0,0,y,0,147.05705642700195,22
cloth,paeaplr,3,0.0,0,y,0,32.54818916320801,22
blood,skirt,4,0.27,1,y,1,24.9021053314209,22
shirt,trouser,1,0.9,1,y,1,142.65203475952148,22
hotel,bbloy,3,0.0,0,y,0,166.8989658355713,22
chocolate,bcsiiut,2,0.0,0,y,0,53.987979888916016,22
fruit,orange,1,0.86,1,y,1,40.39812088012695,22
phone,light,4,0.2,1,y,1,166.49103164672852,22
cloth,apparel,1,0.71,1,y,1,150.35414695739746,22
tennis,scocer,2,0.0,0,y,0,150.1789093017578,22
fruit,rneaog,3,0.0,0,y,0,48.53701591491699,22
office,iahcr,3,0.0,0,y,0,56.855201721191406,22
phone,radio,1,0.63,1,y,1,48.96092414855957,22
engine,tairn,2,0.0,0,y,0,158.8599681854248,22
engine,skeleton,4,0.12,1,y,1,71.77209854125977,22
photo,cmarea,2,0.0,0,y,0,182.60598182678223,22
photo,raacem,3,0.0,0,y,0,49.806833267211914,22
guitar,lemon,4,0.36,1,y,1,61.31410598754883,22
shirt,ueortrs,3,0.0,0,y,0,174.515962600708,22
hotel,onion,4,0.44,1,y,1,40.16304016113281,22
blood,ptaelelt,2,0.0,0,y,0,158.69402885437012,22
guitar,voilin,2,0.0,0,y,0,49.40509796142578,22
tongue,muslce,2,0.0,0,y,0,80.26981353759766,22
lava,biscuit,4,0.33,1,y,1,64.23401832580566,22
bread,laptop,4,0.2,1,y,1,174.39913749694824,22
lava,magma,1,0.78,1,y,1,175.32801628112793,22
chocolate,diary,4,0.27,1,y,1,198.10199737548828,22
tennis,mouse,4,0.09,1,y,1,182.6918125152588,22
virus,bottle,4,0.47,1,y,1,173.6009120941162,22
fruit,ongrae,2,0.0,0,y,0,172.86396026611328,22
tea,bicycle,4,0.25,1,y,1,25.307893753051758,22
chocolate,biscuit,1,0.59,1,y,1,134.1860294342041,22
virus,bacteria,1,0.88,1,y,1,150.33912658691406,22
bread,butter,1,0.75,1,y,1,134.36317443847656,22
cloth,aeprpal,2,0.0,0,y,0,166.46909713745117,22
doctor,nruse,2,0.0,0,y,0,31.631946563720703,22
shirt,flower,4,0.4,1,y,1,64.9559497833252,22
doctor,nurse,1,0.87,1,y,1,142.4717903137207,22
tea,cofefe,2,0.0,0,y,0,166.5360927581787,22
engine,train,1,0.63,1,y,1,16.9219970703125,22
guitar,iovlni,3,0.0,0,y,0,149.7969627380371,22
phone,adior,3,0.0,0,y,0,51.68604850769043,22
office,caihr,2,0.0,0,y,0,24.739980697631836,22
lava,mgama,3,0.0,0,y,0,57.22999572753906,22
truck,ilevehc,3,0.0,0,y,0,21.533966064453125,22
tongue,pencil,4,0.25,1,y,1,69.39411163330078,22
insect,tmierte,2,0.0,0,y,0,142.2710418701172,22
truck,paper,4,0.24,1,y,1,22.20606803894043,22
hotel,lbboy,2,0.0,0,y,0,140.1979923248291,22
blood,ttllpeae,3,0.0,0,y,0,35.95304489135742,22
fruit,airplane,4,0.38,1,y,1,56.58388137817383,22
virus,bieracta,2,0.0,0,y,0,158.39719772338867,22
shirt,tersuor,2,0.0,0,y,0,56.08201026916504,22
doctor,eusrn,3,0.0,0,y,0,56.12802505493164,22
office,jelly,4,0.24,1,y,1,29.449939727783203,22
lava,mgmaa,2,0.0,0,y,0,166.93401336669922,22
tennis,rsocce,3,0.0,0,y,0,45.32980918884277,22
truck,vclhiee,2,0.0,0,y,0,61.74612045288086,22
cloth,charger,4,0.33,1,y,1,69.74005699157715,22
insect,termite,1,0.95,1,y,1,142.5931453704834,22
tongue,selmuc,3,0.0,0,y,0,166.22209548950195,22
guitar,violin,1,0.86,1,y,1,71.71988487243652,22
virus,riatcaeb,3,0.0,0,y,0,158.2348346710205,22
truck,vehicle,1,0.8,1,y,1,49.06296730041504,22
insect,ttemier,3,0.0,0,y,0,182.7390193939209,22
