word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
office,jelly,4,0.24,1,0,2,2000.0,20
tongue,muslce,2,0.0,0,y,0,922.4929809570312,20
doctor,nruse,2,0.0,0,0,2,2000.0,20
office,chair,1,0.53,1,n,0,73.9128589630127,20
tongue,selmuc,3,0.0,0,0,2,2000.0,20
office,iahcr,3,0.0,0,0,2,2000.0,20
bread,laptop,4,0.2,1,y,1,1869.1859245300293,20
fruit,orange,1,0.86,1,0,2,2000.0,20
tennis,rsocce,3,0.0,0,n,1,1525.979995727539,20
tea,coffee,1,0.89,1,y,1,1229.5911312103271,20
hotel,onion,4,0.44,1,y,1,1427.2079467773438,20
fruit,ongrae,2,0.0,0,n,1,1307.7609539031982,20
bread,butter,1,0.75,1,y,1,1139.0609741210938,20
chocolate,diary,4,0.27,1,y,1,1427.8199672698975,20
doctor,eusrn,3,0.0,0,n,1,1242.3529624938965,20
cloth,apparel,1,0.71,1,y,1,1402.4169445037842,20
office,caihr,2,0.0,0,n,1,1235.1090908050537,20
photo,cmarea,2,0.0,0,n,1,1452.4850845336914,20
tea,bicycle,4,0.25,1,y,1,1259.4151496887207,20
phone,radio,1,0.63,1,y,1,1106.6389083862305,20
shirt,trouser,1,0.9,1,y,1,1201.3671398162842,20
photo,burger,4,0.42,1,y,1,1185.1921081542969,20
phone,light,4,0.2,1,y,1,1056.8881034851074,20
virus,bieracta,2,0.0,0,n,1,1292.1428680419922,20
photo,raacem,3,0.0,0,n,1,1225.5380153656006,20
cloth,aeprpal,2,0.0,0,n,1,1468.4419631958008,20
engine,train,1,0.63,1,y,1,1441.3371086120605,20
bread,utrtbe,3,0.0,0,n,1,1372.9729652404785,20
virus,bacteria,1,0.88,1,y,1,1378.5459995269775,20
blood,skirt,4,0.27,1,y,1,1691.7219161987305,20
tongue,muscle,1,0.8,1,y,1,1276.3910293579102,20
phone,rdaio,2,0.0,0,n,1,1468.707799911499,20
guitar,lemon,4,0.36,1,y,1,1511.6610527038574,20
tea,eceoff,3,0.0,0,n,1,1051.7420768737793,20
hotel,bbloy,3,0.0,0,n,1,1227.2181510925293,20
tennis,mouse,4,0.09,1,n,0,1124.5851516723633,20
shirt,flower,4,0.4,1,y,1,1400.367021560669,20
engine,tnria,3,0.0,0,n,1,1331.3891887664795,20
doctor,shampoo,4,0.21,1,y,1,1530.668020248413,20
tongue,pencil,4,0.25,1,0,2,2000.0,20
insect,termite,1,0.95,1,y,1,99.69782829284668,20
fruit,airplane,4,0.38,1,y,1,1572.732925415039,20
tennis,scocer,2,0.0,0,y,0,745.2881336212158,20
bread,buettr,2,0.0,0,n,1,1758.7800025939941,20
shirt,tersuor,2,0.0,0,n,1,1313.391923904419,20
blood,ttllpeae,3,0.0,0,n,1,865.8270835876465,20
blood,ptaelelt,2,0.0,0,n,1,865.3709888458252,20
hotel,lobby,1,0.71,1,y,1,1049.9629974365234,20
blood,platelet,1,0.53,1,y,1,1389.301061630249,20
insect,ttemier,3,0.0,0,n,1,1164.8709774017334,20
lava,biscuit,4,0.33,1,y,1,1348.371982574463,20
doctor,nurse,1,0.87,1,y,1,1012.9470825195312,20
virus,riatcaeb,3,0.0,0,n,1,1148.616075515747,20
lava,mgama,3,0.0,0,n,1,1037.4691486358643,20
phone,adior,3,0.0,0,n,1,1172.4050045013428,20
virus,bottle,4,0.47,1,y,1,1085.1080417633057,20
guitar,iovlni,3,0.0,0,n,1,1484.0760231018066,20
truck,ilevehc,3,0.0,0,n,1,1011.2040042877197,20
shirt,ueortrs,3,0.0,0,n,1,833.4360122680664,20
truck,vehicle,1,0.8,1,y,1,1121.4439868927002,20
guitar,voilin,2,0.0,0,y,0,1241.014003753662,20
tea,cofefe,2,0.0,0,y,0,680.4220676422119,20
chocolate,biscuit,1,0.59,1,y,1,790.7619476318359,20
insect,lunch,4,0.22,1,n,0,1213.84596824646,20
hotel,lbboy,2,0.0,0,n,1,1160.742998123169,20
chocolate,bcsiiut,2,0.0,0,n,1,872.920036315918,20
truck,paper,4,0.24,1,y,1,1257.67183303833,20
photo,camera,1,0.59,1,y,1,1009.9601745605469,20
insect,tmierte,2,0.0,0,n,1,1420.0339317321777,20
guitar,violin,1,0.86,1,y,1,1827.0950317382812,20
engine,skeleton,4,0.12,1,y,1,1848.6640453338623,20
cloth,charger,4,0.33,1,y,1,1617.1081066131592,20
fruit,rneaog,3,0.0,0,n,1,1858.4599494934082,20
cloth,paeaplr,3,0.0,0,n,1,1042.9961681365967,20
lava,magma,1,0.78,1,y,1,1741.5049076080322,20
engine,tairn,2,0.0,0,n,1,1157.2461128234863,20
truck,vclhiee,2,0.0,0,n,1,1115.1089668273926,20
tennis,soccer,1,0.75,1,y,1,1156.9948196411133,20
lava,mgmaa,2,0.0,0,n,1,932.793140411377,20
chocolate,ibcstui,3,0.0,0,n,1,1242.5379753112793,20
